Datetime,AAL,AAPL,ADBE,ADI,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,CERN,CMCSA,COST,CSCO,CSX,CTSH,DISCA,DISH,DLTR,EA,EBAY,EXPE,FAST,FB,FOX,FOXA,GILD,GOOGL,INTC,JD,KHC,LBTYA,LBTYK,LRCX,MAR,MCHP,MDLZ,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NVDA,NXPI,PAYX,PCAR,PYPL,QCOM,ROST,SBUX,SIRI,SWKS,TMUS,TRIP,TSCO,TSLA,TXN,VOD,VRTX,WBA,WDC,XLNX
2020-04-27 09:30:00-04:00,10.371399879455566,90.95999908447266,347.57000732421875,107.04000091552734,182.69500732421875,103.51000213623047,109.7750015258789,52.40999984741211,236.02999877929688,2432.27001953125,67.41999816894531,266.6099853515625,5.923500061035156,100.45999908447266,302.7749938964844,73.875,37.63999938964844,312.0303955078125,42.83000183105469,65.74500274658203,54.71500015258789,21.360000610351562,23.899999618530273,76.25,118.23999786376953,40.036598205566406,67.74500274658203,36.474998474121094,191.9550018310547,25.0,25.309999465942383,79.91999816894531,1277.5948486328125,59.36000061035156,45.58000183105469,29.559999465942383,18.6299991607666,17.739999771118164,270.7799987792969,82.3499984741211,83.11000061035156,51.70000076293945,175.91000366210938,45.189998626708984,53.900001525878906,16.1299991607666,11.095000267028809,424.30999755859375,43.09000015258789,296.0,96.38999938964844,68.66999816894531,67.7699966430664,120.6500015258789,76.80999755859375,88.16500091552734,76.83999633789062,5.545000076293945,98.77999877929688,91.31999969482422,18.46500015258789,101.44000244140625,746.885009765625,114.0,13.670000076293945,271.5849914550781,44.189998626708984,41.755001068115234,280.3399963378906
2020-04-27 09:35:00-04:00,10.220000267028809,90.86000061035156,347.3599853515625,106.3499984741211,184.17039489746094,103.76000213623047,109.98999786376953,52.54999923706055,236.07000732421875,2427.465087890625,66.73999786376953,266.8500061035156,5.71999979019165,100.31999969482422,303.92999267578125,73.56999969482422,37.7599983215332,312.15020751953125,42.790000915527344,65.37999725341797,55.11000061035156,21.549999237060547,23.81999969482422,76.97889709472656,116.37999725341797,39.9900016784668,67.9800033569336,36.34000015258789,192.41720581054688,25.079999923706055,25.3700008392334,79.5604019165039,1279.4599609375,59.095001220703125,45.16999816894531,29.610000610351562,18.549999237060547,17.700000762939453,273.2200012207031,82.07499694824219,83.2750015258789,51.58000183105469,175.88999938964844,44.900001525878906,53.814998626708984,16.219999313354492,11.220000267028809,422.3999938964844,42.994998931884766,296.6600036621094,96.55500030517578,68.87999725341797,67.87000274658203,120.66739654541016,76.91000366210938,88.3550033569336,77.0999984741211,5.554999828338623,98.62999725341797,91.23999786376953,18.520000457763672,102.31500244140625,758.9400024414062,114.29000091552734,13.670000076293945,271.79998779296875,44.279998779296875,42.2400016784668,280.989990234375
2020-04-27 09:40:00-04:00,10.139599800109863,90.73999786376953,347.7699890136719,106.4800033569336,184.30960083007812,102.94999694824219,110.26229858398438,52.470001220703125,236.35000610351562,2425.52001953125,66.98999786376953,267.1499938964844,5.632999897003174,99.7750015258789,301.6199951171875,73.20999908447266,37.755001068115234,311.75,42.81999969482422,65.30999755859375,54.650001525878906,21.475000381469727,23.770000457763672,77.08999633789062,116.23999786376953,40.16999816894531,67.0000991821289,36.179901123046875,192.74989318847656,24.8799991607666,25.170000076293945,78.58209991455078,1280.885009765625,59.16999816894531,44.959999084472656,29.614999771118164,18.56999969482422,17.709999084472656,273.25,81.91999816894531,83.11000061035156,51.7400016784668,175.89999389648438,44.94499969482422,53.555999755859375,16.040000915527344,11.130000114440918,421.80499267578125,43.189998626708984,299.8999938964844,96.40260314941406,68.66000366210938,67.79499816894531,120.86009979248047,77.07499694824219,87.43000030517578,76.88999938964844,5.523399829864502,98.87000274658203,91.18000030517578,18.290000915527344,101.99500274658203,762.6500244140625,114.11000061035156,13.637299537658691,271.3500061035156,44.060001373291016,42.27000045776367,280.5596923828125
2020-04-27 09:45:00-04:00,10.130000114440918,90.86000061035156,346.54998779296875,107.01000213623047,183.80999755859375,103.31999969482422,110.52249908447266,52.56999969482422,236.5500030517578,2435.268798828125,67.33999633789062,267.7349853515625,5.690000057220459,100.43000030517578,301.6415100097656,73.29000091552734,37.814998626708984,312.07000732421875,42.834999084472656,65.48999786376953,54.720001220703125,21.530000686645508,23.84000015258789,77.62000274658203,116.27989959716797,40.209999084472656,67.30999755859375,36.16999816894531,193.4801025390625,24.90999984741211,25.170000076293945,78.87999725341797,1277.14501953125,59.16999816894531,45.18000030517578,29.700000762939453,18.594999313354492,17.709999084472656,273.32501220703125,81.7300033569336,83.33000183105469,51.54999923706055,175.75,45.345001220703125,53.900001525878906,16.104299545288086,11.1850004196167,422.0400085449219,43.209999084472656,301.55010986328125,97.0,68.61000061035156,67.7300033569336,120.73999786376953,77.6050033569336,87.33000183105469,76.98999786376953,5.53000020980835,99.20999908447266,91.12000274658203,18.450000762939453,102.39099884033203,778.9249267578125,114.37999725341797,13.65999984741211,271.0841064453125,44.19499969482422,42.619998931884766,281.5564880371094
2020-04-27 09:50:00-04:00,10.140000343322754,90.69999694824219,347.19000244140625,107.48370361328125,185.1300048828125,102.76000213623047,110.80999755859375,52.41999816894531,236.67999267578125,2433.72607421875,67.06999969482422,269.4955139160156,5.730000019073486,100.63999938964844,301.4800109863281,72.99240112304688,37.974998474121094,312.04998779296875,42.812801361083984,65.43000030517578,55.04999923706055,21.540000915527344,23.950000762939453,77.58000183105469,116.06999969482422,40.220001220703125,67.16999816894531,36.279998779296875,193.0438995361328,24.959999084472656,25.25,78.80000305175781,1276.8951416015625,59.189998626708984,45.2400016784668,29.67530059814453,18.604999542236328,17.720300674438477,273.5882873535156,81.88189697265625,83.94000244140625,51.41999816894531,175.5,45.29520034790039,54.290000915527344,15.979999542236328,11.280099868774414,422.8800048828125,43.5099983215332,301.6000061035156,96.69499969482422,68.73999786376953,67.80999755859375,120.68499755859375,77.63999938964844,87.3499984741211,76.96269989013672,5.574999809265137,99.26000213623047,90.93000030517578,18.510000228881836,102.15499877929688,781.510009765625,114.38999938964844,13.680000305175781,270.8599853515625,44.2400016784668,42.78499984741211,283.5199890136719
2020-04-27 09:55:00-04:00,10.21500015258789,90.76000213623047,348.2200012207031,108.2300033569336,185.9530029296875,103.2750015258789,110.88999938964844,52.369998931884766,237.02000427246094,2437.64501953125,67.62999725341797,268.7799987792969,5.885000228881836,100.75499725341797,301.30999755859375,73.08000183105469,38.025001525878906,312.1300048828125,42.904998779296875,65.58999633789062,55.189998626708984,21.670000076293945,24.020000457763672,77.86000061035156,116.37999725341797,40.10499954223633,67.23500061035156,36.52000045776367,192.8623046875,24.979999542236328,25.25,78.86000061035156,1278.3800048828125,59.189998626708984,45.22999954223633,29.68000030517578,18.600000381469727,17.719999313354492,273.5,82.5199966430664,83.74500274658203,51.404998779296875,176.02999877929688,45.15999984741211,54.36000061035156,16.040000915527344,11.295000076293945,422.87200927734375,43.630001068115234,302.8299865722656,97.25,68.59249877929688,68.13999938964844,121.07270050048828,77.40499877929688,87.47000122070312,76.9749984741211,5.635000228881836,99.3324966430664,91.04000091552734,18.6299991607666,102.1500015258789,784.469970703125,114.61499786376953,13.670000076293945,271.0299987792969,44.40999984741211,42.90999984741211,284.19000244140625
2020-04-27 10:00:00-04:00,10.239999771118164,90.87999725341797,347.5762939453125,107.57499694824219,185.38999938964844,103.1500015258789,110.86000061035156,52.119998931884766,236.6199951171875,2436.62646484375,67.37909698486328,269.6050109863281,5.840000152587891,100.80999755859375,301.5,73.08000183105469,38.040000915527344,312.05999755859375,42.97999954223633,65.87000274658203,55.102500915527344,21.65999984741211,24.117300033569336,78.00499725341797,115.91000366210938,40.08000183105469,67.1500015258789,36.69499969482422,192.80999755859375,24.959999084472656,25.239999771118164,78.9000015258789,1278.6500244140625,59.2599983215332,45.130001068115234,29.691600799560547,18.690000534057617,17.795000076293945,271.5450134277344,83.68000030517578,83.73999786376953,51.349998474121094,176.1699981689453,45.040000915527344,54.38999938964844,16.045000076293945,11.306500434875488,423.2828063964844,43.720001220703125,302.3900146484375,97.24440002441406,68.55999755859375,68.27999877929688,121.1677017211914,77.33000183105469,87.55999755859375,77.16000366210938,5.590000152587891,99.18499755859375,91.19000244140625,18.6299991607666,102.66999816894531,783.6199951171875,114.77989959716797,13.670000076293945,271.4883117675781,44.15999984741211,42.93000030517578,284.239990234375
2020-04-27 10:05:00-04:00,10.199999809265137,91.11000061035156,347.489990234375,107.54450225830078,185.51390075683594,103.1572036743164,110.5199966430664,52.11000061035156,236.52999877929688,2433.298583984375,67.2300033569336,269.54998779296875,5.920000076293945,100.68000030517578,301.8299865722656,72.93000030517578,37.96500015258789,311.38470458984375,42.939998626708984,65.6500015258789,55.16999816894531,21.709999084472656,23.979999542236328,78.29000091552734,115.66000366210938,40.1150016784668,67.29499816894531,36.63999938964844,192.73280334472656,25.1299991607666,25.43000030517578,78.72000122070312,1275.5450439453125,59.20000076293945,45.13999938964844,29.6299991607666,18.799999237060547,17.860000610351562,271.30999755859375,85.05000305175781,83.7300033569336,51.27000045776367,175.77999877929688,44.94499969482422,54.22999954223633,16.079999923706055,11.395000457763672,426.19989013671875,43.59000015258789,300.8900146484375,97.26190185546875,68.25499725341797,68.1500015258789,120.9000015258789,77.19999694824219,87.55970001220703,77.33000183105469,5.59499979019165,98.72000122070312,91.04000091552734,18.709999084472656,102.70999908447266,785.726318359375,114.94000244140625,13.640000343322754,271.57501220703125,44.11000061035156,42.970001220703125,283.6549987792969
2020-04-27 10:10:00-04:00,10.204999923706055,91.12999725341797,348.19000244140625,107.61000061035156,185.97000122070312,102.63999938964844,110.48999786376953,52.255001068115234,236.44349670410156,2430.5947265625,67.23999786376953,270.2200012207031,5.934999942779541,100.7699966430664,300.8500061035156,72.91000366210938,37.939998626708984,310.9100036621094,42.9900016784668,65.5770034790039,55.27000045776367,21.809999465942383,23.989999771118164,77.8550033569336,115.87999725341797,40.04999923706055,67.47000122070312,36.724998474121094,192.99000549316406,25.290000915527344,25.56999969482422,78.77999877929688,1280.800048828125,59.2599983215332,45.220001220703125,29.549999237060547,18.899999618530273,17.940000534057617,271.2900085449219,85.15499877929688,83.8550033569336,51.31999969482422,175.8533935546875,45.150001525878906,54.20000076293945,16.15999984741211,11.544300079345703,428.3450012207031,43.84000015258789,301.6000061035156,97.66999816894531,68.29239654541016,68.13999938964844,120.96379852294922,77.2699966430664,87.97000122070312,77.69380187988281,5.614999771118164,98.625,90.9000015258789,18.760000228881836,102.80000305175781,797.5399780273438,114.94000244140625,13.640199661254883,271.0199890136719,44.20000076293945,43.20000076293945,283.6099853515625
2020-04-27 10:15:00-04:00,10.270000457763672,91.2699966430664,348.55999755859375,107.79000091552734,185.80999755859375,102.53990173339844,110.5,52.33000183105469,236.75999450683594,2423.343017578125,67.25,270.62469482421875,5.985000133514404,100.93000030517578,300.6499938964844,72.98699951171875,38.0,310.1794128417969,43.02000045776367,65.5199966430664,55.54999923706055,21.8700008392334,24.030000686645508,77.86499786376953,115.91000366210938,40.0,67.5999984741211,36.709999084472656,193.16000366210938,25.270000457763672,25.559999465942383,78.83499908447266,1283.5,59.189998626708984,45.41350173950195,29.545000076293945,18.93000030517578,17.979999542236328,271.67498779296875,85.67980194091797,84.13500213623047,51.290000915527344,175.877197265625,45.169898986816406,54.27000045776367,16.03499984741211,11.683500289916992,426.951904296875,43.900001525878906,301.3599853515625,97.16000366210938,68.4800033569336,68.12999725341797,121.80000305175781,77.30000305175781,87.94000244140625,77.97000122070312,5.625,98.54000091552734,90.83000183105469,18.905799865722656,102.80999755859375,796.15478515625,115.31999969482422,13.65999984741211,270.9200134277344,44.18000030517578,43.13999938964844,283.5249938964844
